year,genre,title,movieRating,avg_vote
2005,Thriller,Devil's Highway,okay,3.5
2005,"Drama, Romance, Thriller",Down in the Valley,good,6.4
2005,"Action, Thriller",Throttle,okay,5.1
2005,"Comedy, Crime, Sport",The Longest Yard,good,6.4
2005,Drama,Special Ed,good,6.7
2005,"Comedy, Drama, Romance",Rumor Has It...,okay,5.5
2005,"Action, Horror, Thriller",Vampires: The Turning,okay,3.5
2005,Drama,Nordeste,good,6.6
2005,"Action, Crime, Drama",Assault on Precinct 13,good,6.3
2005,"Comedy, Horror",Dead Meat,okay,4.1
2005,"Comedy, Family",Down and Derby,okay,5.5
2005,"Comedy, Drama",Duane Hopwood,good,6.6
2005,"Crime, Drama, Thriller",A History of Violence,good,7.4
2005,"Action, Sci-Fi, Thriller",The Island,good,6.8
2005,"Comedy, Drama, Romance",Je préfère qu'on reste amis,,6.0
2005,"Action, Crime, Drama",Lord of War,good,7.6
2005,"Action, Comedy, Crime",The Man,okay,5.5
2005,"Adventure, Biography, Dram",End of the Spear,good,6.8
2005,"Drama, Thriller",Ambulancen,okay,5.2
2005,"Comedy, Drama, Romance",Chanthupottu,good,6.6
2005,"Drama, Horror, Mystery",Bag det stille ydre,okay,4.6
2005,"Drama, Mystery, Romance",Die blaue Grenze,good,6.4
2005,"Adventure, Comedy, Family",Herbie Fully Loaded,okay,4.8
2005,"Comedy, Crime, Drama",The Ice Harvest,good,6.3
2005,Drama,Lepel,good,6.3
2005,Comedy,"Tu vas rire, mais je te quitte",okay,5.0
2005,"Comedy, Drama",C.R.A.Z.Y.,good,7.9
2005,"Comedy, Romance",The Baxter,good,6.5
2005,Horror,The Curse of El Charro,bad,2.9
2005,"Comedy, Drama",Say Uncle,okay,5.5
2005,"Drama, Thriller",Fierce People,good,6.5
2005,"Action, Adventure, Comedy",The Helix... Loaded,bad,2.1
2005,"Animation, Adventure, Dram",Der kleine Eisbär 2: Die geheimnisvolle Insel,okay,5.6
2005,"Comedy, Drama",Brooklyn Lobster,good,6.3
2005,"Crime, Thriller",Sin City,good,8.0
2005,"Drama, Romance",Xiang ri kui,good,7.2
2005,"Drama, Fantasy, Horror",Tamara,okay,5.1
2005,"Action, Adventure, Crime",Æon Flux,okay,5.4
2005,Comedy,Avant qu'il ne soit trop tard,okay,5.4
2005,Comedy,Bab el web,okay,4.6
2005,"Action, Adventure, Drama",Beowulf & Grendel,okay,5.8
2005,"Action, Drama",Chok-Dee,good,6.2
2005,Comedy,Just Sex and Nothing Else,good,6.3
2005,"Action, Crime, Drama",L'empire des loups,okay,5.9
2005,"Comedy, Drama, Romance",The Great New Wonderful,okay,5.7
2005,Comedy,Hating Alison Ashley,okay,5.5
2005,"Horror, Thriller",The Dark Hours,,6.0
2005,Comedy,Iznogoud,okay,3.7
2005,"Biography, Drama, History",The New World,good,6.7
2005,Comedy,Ivkova slava,good,7.2
2005,Drama,Unge Andersen,good,6.4
2005,"Comedy, Crime, Drama",The Big White,good,6.4
2005,"Adventure, Comedy, Drama",Casanova,good,6.5
2005,"Action, Adventure, Horror",The Cave,okay,5.1
2005,"Action, Crime, Drama",Chaos,good,6.5
2005,"Action, Drama, Romance",Supercross,okay,4.3
2005,"Drama, Music",Last Days,okay,5.8
2005,Horror,Snuff-Movie,okay,3.9
2005,"Crime, Drama, Romance",Nordkraft,good,6.8
2005,"Family, Fantasy, Sci-Fi",Oskar & Josefine,okay,5.2
2005,"Comedy, Drama, Music",Roll Bounce,good,6.1
2005,"Comedy, Drama, Romance",The Sisterhood of the Traveling Pants,good,6.5
2005,"Comedy, Drama",Solkongen,good,6.1
2005,"Musical, Action, Crime",State Property 2,okay,4.6
2005,"Comedy, Drama",The Ape,okay,4.5
2005,"Crime, Drama, Mystery",Chasing Ghosts,okay,5.4
2005,"Comedy, Drama",Everything Is Illuminated,good,7.4
2005,"Drama, Horror, Thriller",The Exorcism of Emily Rose,good,6.7
2005,"Crime, Drama",Les mauvais joueurs,okay,5.3
2005,"Biography, Drama",The Notorious Bettie Page,good,6.5
2005,Comedy,The Moguls,good,6.3
2005,"Adventure, Comedy, Family",Sky High,good,6.2
2005,Comedy,Suits on the Loose,okay,5.4
2005,"Comedy, Romance",The 40 Year Old Virgin,good,7.1
2005,"Comedy, Drama, Romance",Barfuss,good,7.2
2005,"Crime, Drama, Thriller",The Deal,okay,5.0
2005,"Horror, Thriller",Chaos,okay,3.2
2005,Drama,Loggerheads,good,7.1
2005,"Comedy, Drama, Romance",Nearing Grace,okay,5.8
2005,Drama,Stestí,good,7.1
2005,"Biography, Drama","The Prize Winner of Defiance, Ohio",good,7.3
2005,"Crime, Drama",Sametoví vrazi,,6.0
2005,Comedy,Shut Up and Shoot Me,good,6.2
2005,Comedy,Skrítek,good,7.1
2005,"Action, Adventure, Comedy",Zathura: A Space Adventure,good,6.1
2005,"Comedy, Romance",El amor - primera parte,good,7.0
2005,"Comedy, Drama",The Chumscrubber,good,6.9
2005,"Comedy, Drama",Dobro ustimani mrtvaci,good,7.0
2005,"Action, Drama, Sci-Fi",Lorelei,okay,5.3
2005,Drama,Our Very Own,good,6.1
2005,Comedy,Szöke kóla,okay,4.1
2005,"Animation, Comedy, Family",Pooh's Heffalump Movie,good,6.4
2005,Drama,The Sisters,good,6.1
2005,Drama,Le survenant,good,6.3
2005,"Animation, Comedy, Drama",Sílení,good,7.3
2005,"Adventure, Comedy, Drama",Transamerica,good,7.4
2005,"Comedy, Romance",The Truth About Love,okay,5.4
2005,"Action, Romance, War",The Second Front,okay,4.0
2005,"Adventure, Sci-Fi",War of the Worlds,good,6.5
2005,Comedy,Complete Guide to Guys,okay,4.2
2005,Comedy,Dirty Deeds,okay,5.8
2005,Action,Fugitive Hunter,okay,3.6
2005,Comedy,Kamenák 3,bad,2.4
2005,"Drama, Romance",The Mistress of Spices,okay,5.5
2005,"Comedy, Drama",Príbehy obycejného sílenství,good,7.3
2005,Romance,Kousek nebe,good,6.8
2005,"Comedy, Drama",Knetter,good,6.6
2005,"Biography, Crime, Drama",Munich,good,7.5
2005,"Comedy, Drama, Romance",Voksne mennesker,good,7.2
2005,"Comedy, Sport",Bad News Bears,okay,5.8
2005,"Drama, Mystery, Thriller",Flightplan,good,6.3
2005,"Comedy, War",Guy X,okay,5.1
