year,genre,title,movieRating,duration,avg_vote
2005,"Crime, Drama, Mystery",Where the Truth Lies,good,107,6.5
2005,"Action, Comedy, Crime",Kiss Kiss Bang Bang,good,103,7.5
2005,Drama,Casa de Areia,good,115,7.4
2005,"Adventure, Drama","Cinema, Aspirinas e Urubus",good,99,7.4
2005,"Action, Crime, Thriller",Der Clown,okay,104,4.4
2005,"Comedy, Drama, Family",The Honeymooners,,90,3.3
2005,"Crime, Mystery, Thriller",The Interpreter,good,128,6.4
2005,Comedy,Khullam Khulla Pyaar Karen,okay,155,4.2
2005,"Drama, History, War",Köshpendiler,okay,112,5.9
2005,"Romance, Thriller",Replica,bad,66,1.6
2005,"Adventure, Comedy",Searching for Bobby D,okay,105,4.8
2005,"War, Action, Adventure",Turetskiy gambit,good,208,7.0
2005,"Comedy, Fantasy, Romance",Bewitched,okay,102,4.8
2005,"Adventure, Comedy, Family",Lenny the Wonder Dog,,84,3.3
2005,"Comedy, Drama, Musical",On the One,okay,103,5.4
2005,"Crime, Drama",Remedy,okay,82,4.1
2005,"Drama, Horror, Mystery",White Noise,okay,101,5.5
2005,Comedy,You and Your Stupid Mate,,85,3.9
2005,Drama,Black,good,122,8.2
2005,"Adventure, Comedy, Drama",Racing Stripes,okay,102,5.2
2005,"Comedy, Family, Sport",Rebound,okay,86,5.1
2005,"Action, Drama, Thriller",Anniyan,good,181,8.2
2005,"Comedy, Drama, Romance",The Shadow Dancer,good,100,6.7
2005,"Drama, Mystery, Thriller",Slow Burn,okay,93,5.8
2005,Drama,Vida y color,good,90,6.1
2005,"Comedy, Drama",Colour Me Kubrick: A True...ish Story,good,86,6.1
2005,Thriller,Frozen,okay,90,5.8
2005,Comedy,Guy in Row Five,okay,97,6.0
